pmid,title,abstract,authors,first_author_affiliation,journal,pub_date,doi,score,matched_keywords,api_keywords
42649363,Preference Does Not Match Use: A Pilot Study of Data Visualization Format and Cancer Risk Comprehension Across Educational Levels.,"The selection of data visualization formats for cancer risk communication is a routine decision in clinical cancer education, yet it currently lacks an empirical basis. This pilot study examined format preference and comprehension across educational levels in a medical genetics clinic, and whether stated preference corresponds to the format consulted under cognitive demand. In this cross-sectional pilot study at a medical genetics clinic in Porto, Portugal (January-June 2024), 63 adults stratified by educational attainment (low, n = 25; medium, n = 16; high, n = 22) evaluated five visualization formats (bar graph, table, pictograph, pie chart, clock graph) presenting identical risk scenarios. Preference and comprehension were assessed via semi-structured interview using non-parametric tests. Bar graphs (30.2%) and Table (28.6%) were most preferred; comprehension was highest for bar graphs (87.5%) and Table (87.0%). Clock graphs were least preferred (7.9%) and least understood (25.0% for Question 1; OR = 0.064, 95% CI 0.011-0.617, p = 0.023). Comprehension differed by educational level (54.0% low, 78.1% medium, 97.7% high; p < 0.001, Cramer's V = 0.44). Preference and consulted format diverged: tables were used by 36.5-39.7% of participants despite being preferred by only 28.6%. Format selection in cancer risk education should not rely on patient preference alone. Bar graph and table use were associated with higher comprehension; clock graph use was associated with lower accuracy. For patients with lower educational attainment, no format achieved adequate comprehension. This supports multimodal education strategies. These associations are observational and cannot be causally attributed to format itself, as format was self-selected.",Nogueira D; Azevedo Soares C,"Serviço de Genética Médica, Centro de Genética Médica Dr. Jacinto Magalhães, Unidade Local de Saúde Sto. António, Porto, Portugal.",Journal of cancer education : the official journal of the American Association for Cancer Education,2026-08-27,10.1007/s13187-026-02973-3,13.8,"visualization(kw,title,abstract); visual(kw,title,abstract); data(kw,title,abstract)",Patient education; Health Literacy; Risk Communication; Data Visualization; Cancer Education; Educational Attainment; Cancer Risk Comprehension
42645645,Global research trends in salvage robot-assisted radical prostatectomy: a bibliometric and visualization analysis.,"Salvage robot-assisted radical prostatectomy (sRARP) is a potentially curative option for selected patients with locally recurrent prostate cancer after previous local therapy, yet the structure and evolution of this research field remain unclear. We performed a bibliometric and visualization analysis of English-language articles and reviews indexed in the Science Citation Index Expanded edition of the Web of Science Core Collection through July 23, 2026. VOSviewer, CiteSpace, and Bibliometrix/Biblioshiny were used to examine publication trends, collaboration networks, influential contributors, citation foundations, and thematic evolution. Seventy-three publications, including 60 articles and 13 reviews, were included. Research activity increased after 2016, with the United States, Italy, and the United Kingdom occupying prominent positions in international collaboration. Scientific output was concentrated within specialist robotic and uro-oncological centers. Author collaboration remained concentrated within several established research groups, with fewer links between the major teams. Burst-keyword patterns were interpreted as three partially overlapping phases: early investigation of post-radiotherapy salvage and technical feasibility; subsequent diversification toward ""focal therapy,"" ""robotic surgery,"" and alternative salvage pathways; and a recent emphasis on ""functional outcome,"" ""survival,"" patient selection, and ""single institution"" evidence. Overall, the field has progressed from demonstrating procedural feasibility toward evaluating patient-centered and longer-term clinical value. However, the continued prominence of ""single institution"" research and the concentration of output within expert centers may limit the generalizability of the evidence. Prospective multicenter collaboration, standardized outcome reporting, stratification by previous treatment, and broader geographical participation are needed to define the contemporary role of sRARP.",Zhao S; Liu H; Lao Y; Li D; Bai Y; Kong X; Dong Z,"Department of Urology, The Second Hospital & Clinical Medical School, Lanzhou University, Lanzhou, Gansu, 730000, China.",Journal of robotic surgery,2026-08-26,10.1007/s11701-026-03853-0,11.5,"visualization(kw,title,abstract); visual(kw,title,abstract)",Visualization; prostate cancer; Robotic Surgery; Bibliometric Analysis; Research Trends; Salvage Robot-assisted Radical Prostatectomy
42642941,Understanding healthcare professionals' perceptions of artificial intelligence: A bibliometric and thematic analysis using VOSviewer.,"BackgroundArtificial intelligence (AI) is transforming healthcare by influencing clinical decision-making, service delivery, and professional roles. Healthcare professionals' perceptions of AI are critical to its successful implementation and integration into clinical practice. Understanding research trends in this field can support future scientific and policy developments.ObjectiveThis study aimed to examine the scientific structure, research trends, and thematic development of the literature on healthcare professionals' perceptions of artificial intelligence through bibliometric analysis.MethodsA bibliometric analysis was conducted using publications indexed in the Scopus database between 2015 and 2025. The dataset included English-language, peer-reviewed journal articles in medicine, nursing, and health sciences. A total of 644 publications met the inclusion criteria. Publication trends, productive countries, authors, subject areas, and citation patterns were analyzed. Network visualization and keyword co-occurrence analyses were performed using VOSviewer.ResultsPublications increased markedly after 2020, indicating growing scientific interest in the topic. Three major thematic clusters were identified: clinical and technological integration of AI in healthcare, AI in health education and professional practice, and ethical, psychological, and attitudinal aspects of AI. The findings also revealed a shift toward human-centered research emphasizing healthcare professionals' competencies, acceptance, and concerns regarding AI.ConclusionsThis study provides a comprehensive overview of the intellectual landscape of research on healthcare professionals' perceptions of AI. The findings may inform future research, evidence-based policymaking, and strategies to support the effective integration of AI into healthcare systems.",Yurt E; Keskin G,"İzmir Konak Vocational School, İzmir, Turkey.","Work (Reading, Mass.)",2026-08-25,10.1177/10519815261477735,10.6,"visualization(abstract); visual(abstract); artificial intelligence(kw,title,abstract); machine learning(kw); data(kw,abstract)",Artificial intelligence; Clinical; data mining; Health Personnel; Machine Learning; Decision Support Systems; Natural Language Processing
42666746,Artificial intelligence and tobacco use: A bibliometric analysis 1997-2026.,"<h4>Introduction</h4>Globally, tobacco use is a key public health issue. Exploring the impact of developing AI technologies on tobacco use and intervention will help promote the digital transformation of public health research. This study aims to map the trends, networks, and core themes of research at the intersection of artificial intelligence and tobacco use through visual analytics.<h4>Methods</h4>In this study, a bibliometric analysis was conducted on 335 articles on AI and tobacco use in the Web of Science core collection from 1997 to 2026. The search cutoff date was 8 April 2026. Descriptive and visual analysis were conducted on the publication trend, cooperation network, keyword co-occurrence, clustering, and burst of this literature.<h4>Results</h4>The speed of publication of literature in this field has increased significantly since 2018. In the cooperation network, national cooperation is dominated by the United States. Universities, rather than transnational institutions, significantly promote cooperation. The authors' cooperation network is more dispersed. The characteristics of interdisciplinary cooperation are obvious. The research hotspots focus on several aspects. These include machine learning prediction of smoking, dialogue AI and robot interventions, and NLP and social media monitoring. Other topics encompass the analysis of smoking-cessation behavior among youth groups, combined with AI, deep learning, and behavioral analysis; and the evaluation of tobacco characteristics, tobacco products, media, and health. Keyword hotspots and bursts reveal that the field has recently paid special attention to the intervention of cutting-edge technologies in smoking and smoking cessation behavior.<h4>Conclusions</h4>Through data mining and visualization technology, this study reveals the overall evolution, interaction mode, and key fields of AI and tobacco use knowledge. The results provide an important framework for further research.",Wang S; Zhang J; Chen L,"Department of Sociology, The Chinese University of Hong Kong, Hong Kong, China.",Tobacco induced diseases,2026-08-28,10.18332/tid/226603,10.6,"visual analytics(abstract); visualization(abstract); visual(abstract); artificial intelligence(kw,title,abstract); machine learning(abstract); data(abstract)",Artificial intelligence; Tobacco; Bibliometric Analysis
42662976,A Conceptual Framework for 4D Holographic Visualization in Gastrointestinal Endoscopy: Toward Externalized Spatiotemporal Cognition.,"This viewpoint explores the concept of 4D holographic visualization in gastrointestinal endoscopy and discusses its potential implications from a medical informatics perspective. Current endoscopic practice relies primarily on 2D image displays, requiring operators to mentally reconstruct 3D spatial relationships and temporal changes in a dynamic and deformable anatomical environment. The aim of this viewpoint is to present a conceptual framework that reframes endoscopic visualization as a spatiotemporal information integration problem rather than solely a display problem. We discuss how future visualization systems may integrate spatial and temporal information to support externalized representations of anatomy, endoscope configuration, and procedural dynamics in a shared clinical environment. Potential applications include endoscopic navigation, training, and collaborative procedures. We further discuss key technical and clinical considerations, including information integration, registration stability, real-time responsiveness, workflow compatibility, and uncertainty associated with reconstructed information. This viewpoint highlights spatiotemporal information integration as a central challenge in the development of next-generation visualization systems for gastrointestinal endoscopy.",Yamaguchi H; Fukuzawa M; Kawai T; Yamanishi F; Muramatsu T; Ichimiya T; Kagawa Y; Uchida K; Madarame A; Morise T; Yamauchi Y; Kono S; Naito S; Itoi T,"Department of Gastroenterology and Hepatology, Tokyo Medical University, 6-7-1 Nishishinjuku, Shinjuku-ku, Tokyo, 160-0023, Japan, 81 (0)3-3342-6111, 81 (0)3-5381-6654.",JMIR XR and spatial computing,2026-08-27,10.2196/99446,9.5,"visualization(title,abstract); visual(title,abstract); informatics(kw,abstract)",Gastrointestinal Endoscopy; Medical Informatics; Spatial Cognition; Human-machine Interface; 4d Imaging; Holography
42665815,Machine learning-based prediction model for predicting the impact of insulin resistance on the risk of ischemic cardiomyopathy.,"<h4>Background</h4>The triglyceride-to-high-density lipoprotein cholesterol (TG/HDL-C) ratio and triglyceride glucose-body mass (TyG-BMI) index are reliable indicators of insulin resistance (IR). This study investigated their association with ischemic cardiomyopathy (ICM) and developed a machine learning-based model for ICM risk prediction.<h4>Methods</h4>In total, 1,603 subjects participated in this study. Univariable logistic regression analysis was conducted, and variables with P < 0.05 were selected for multivariable logistic regression to identify independent risk factors for ICM. Variables meeting this criterion were adopted to create eight machine learning models, from which the optimal model was selected. Using this best-performing model, SHAP values were visualized, and an online calculator was developed. The model was validated via a calibration plot and DCA.<h4>Results</h4>Univariate and multivariate logistic regression analyses revealed that TyG-BMI, age, ejection fraction, TC/HDL-C, sex, HDL-C, TC, BMI, hemoglobin, diabetes, and hypertension were independent risk factors for ICM (P < 0.05). Based on these factors, SHAP visualization and an online calculator were developed. The calibration plot indicated strong alignment between the model's predicted and actual values, whereas the DCA demonstrated the model's clinical utility.<h4>Conclusion</h4>The TyG-BMI and TC/HDL-C ratio independently predict ICM risk, with the XGB model identified as the most effective for ICM risk prediction, indicating substantial clinical applicability.<h4>Clinical trial registration number</h4>Not applicable.",Naman T; Cheng H; Yu XL; Guo ZT,"Department of Cardiology, People's Hospital of Xinjiang Uygur Autonomous Region, Affiliated Hospital of Xinjiang Second Medical College, Urumqi, China.",BMC medical informatics and decision making,2026-08-28,10.1186/s12911-026-03693-w,7.1,"visualization(abstract); visual(abstract); machine learning(kw,title,abstract)",Prediction; Insulin resistance; Model validation; Machine Learning; Ischemic Cardiomyopathy; Establishment Model
42659645,Improving patient safety with triple-scan technology for insulin pen administration.,"<h4>Purpose</h4>High-alert medications such as insulin pose serious risks to patients when used in error. In response to vulnerabilities identified in existing insulin administration workflows, we implemented a comprehensive approach to mitigate the risk of errors in the hospital setting.<h4>Summary</h4>A new electronic health record capability, referred to as the ""triple-scan system,"" was introduced to enhance insulin pen administration safety. This system requires nurses to scan the patient's wristband barcode, the insulin pen manufacturer's barcode, and the pharmacy's linking label barcode applied to the pen before it is retrieved from an automated dispensing machine. Other measures were also implemented to prevent errors, including a 2-nurse verification process and visual aids. A performance dashboard was used to track insulin pen administration. After the triple-scan system was integrated into workflows, the performance dashboard showed increasing numbers of barcodes scanned over a period of 4 months, whereas the number of unscanned barcodes remained low. Postimplementation surveys of 174 nurses indicated high satisfaction with the new system, with 67% (n = 116) reporting improved patient safety and 71% (n = 124) finding it user friendly.<h4>Conclusion</h4>The triple-scan system ensures the use of a single insulin pen for each patient, which may enhance patient safety by helping to prevent exposure to blood-borne pathogens. Engaging nurses as essential stakeholders and providing ongoing support and training were critical to the success of this intervention. Continuous monitoring and improvements are necessary to ensure the long-term sustainability of the triple-scan system.",Wulffson CK; Babin MM; Andersen Pinotti MT,"Pharmacy Services, Mayo Clinic Health System in Northwest Wisconsin, Eau Claire, WI, USA.",American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2026-08-27,10.1093/ajhp/zxag247,7.0,"dashboard(abstract); visual(abstract); electronic health record(kw,abstract)",Electronic Health Records; Medication Administration Errors; Barcode Medication Administration; Infection Prevention Strategies; Nurse Workflow Optimization; Patient Safety Technology
42640344,Clinical evaluation of nnU-Net-based segmentation for enhanced MRCP maximum intensity projection visualization.,"<h4>Purpose</h4>To evaluate whether deep learning-based segmentation can improve visualization and diagnostic interpretation of MR cholangiopancreatography (MRCP) maximum intensity projections (MIP) by suppressing overlapping high-intensity anatomy while preserving the pancreatobiliary system.<h4>Methods</h4>A total of 322 3D MRCP datasets from 162 patients were included. The training set comprised 265 cases from 127 patients, allowing multiple acquisitions per patient, whereas the evaluation set consisted of 35 cases with a single acquisition per patient. A deep learning-based segmentation model was trained using manual annotations with three distinct labels: background, primary structures, and secondary structures. Conservative safety margins were applied to reduce segmentation omissions. Two board-certified radiologists independently rated processed and original MIP images using 4-point Likert scales (1 = poor, 4 = excellent). Two-sided Wilcoxon signed-rank tests with Benjamini-Hochberg correction were used, and inter-reader agreement was assessed using linearly weighted Cohen's κ .<h4>Results</h4>Segmentation suppressed obscuring structures and improved biliary visualization. After correction for multiple comparisons, processed images showed significantly improved structure overlap scores compared with original images (3.5 ± 0.9 vs. 2.5 ± 0.6) and higher diagnostic confidence (3.4 ± 0.7 vs. 3.2 ± 0.7).<h4>Conclusions</h4>Deep learning-based segmentation improves MRCP MIP visualization by reducing anatomical overlap while preserving clinically relevant pancreatobiliary anatomy.",Kim J; Werner S; Afat S; Nickel MD; Knoll F,"Computational Imaging Lab, Department Artificial Intelligence in Biomedical Engineering, Friedrich-Alexander-Universität Erlangen-Nürnberg, Nürnberger Straße 74, 91054, Erlangen, Germany. jinho.kim@fau.de.","Magma (New York, N.Y.)",2026-08-25,10.1007/s10334-026-01407-x,7.0,"visualization(title,abstract); visual(title,abstract); data(abstract)",Image segmentation; Magnetic Resonance Cholangiopancreatography; Maximum Intensity Projection; Deep Learning
42637795,Visual feedback using electrical impedance tomography during inhalation therapy for chronic obstructive lung disease: a pilot study.,"Airflow limitation and hyperinflation contribute to increased respiratory workload and dyspnea in COPD. Inhalation therapy plays a crucial role, but its effectiveness depends on correct technique. Electrical impedance tomography (EIT) offers real-time visualization of ventilation and may improve inhalation technique, when used as visual feedback. This study aimed to investigate the impact of feedback-guided inhalation using EIT on lung function, specifically targeting obstructive and hyperinflation parameters. In this prospective, randomized, single-blinded study, 29 patients with COPD were divided into a control group (no feedback) and an intervention group (inhalation using visual feedback). Body plethysmography was performed before and after a single inhalation session. The primary outcome was the change in lung function parameters. Secondary outcomes included real-time EIT data during inhalation and a follow-up questionnaire assessing subjective benefit. No differences were observed in obstructive lung parameters (FEV1) between groups, but the intervention group showed a significant FRC reduction compared to the control group (control - 0.1 L vs. intervention - 0.4 L, p < 0.05). Resistance indices (sRtot/sReff) tended to increase in the intervention group whereas a decrease was noted in control. No in between differences in EIT-derived data or subjective benefit at follow-up. Visual feedback using lung EIT may improve inhalation technique and breathing mechanics, which may contribute to reduced hyperinflation. However, changes in breathing pattern may also explain changes in lung parameters, highlighting the complex lung volume, ventilation and airway resistance interplay. Future research should investigate repeated EIT-feedback effects on lung function and disease symptoms.Trial registration: Registered at: DRKS.de; Clinical Trial Registration Number: DRKS-IDDRKS00037626; Registration Date: 11.08.2025.",Stolz S; Meyer R; Rixecker T; Bals R; Lepper PM; Becker A,"Dept. of Internal Medicine V - Pneumology, Allergology and Critical Care Medicine, University Hospital of Saarland and Saarland University, Kirrberger Str. 1, 66421, Homburg, Saar, Germany.",Scientific reports,2026-08-24,10.1038/s41598-026-67510-0,6.6,"visualization(abstract); visual(kw,title,abstract); data(abstract)",COPD; Inhalation; Electrical impedance tomography; Visual Feedback
42648570,Endoscope-Assisted Microvascular Decompression for Hemifacial Spasm: A Consecutive Series Using a Hybrid Visualization Strategy.,"<h4>Background</h4>Microvascular decompression (MVD) is the most effective treatment for hemifacial spasm (HFS). However, microscopic visualization alone may insufficient for assessing the neurovascular relationship, and the optimal role of endoscopy remains unsettled. The purpose of this study was to evaluate the feasibility, safety, and outcomes of endoscope-assisted MVD (EA-MVD) for HFS.<h4>Methods</h4>A retrospective review was performed of 200 consecutive patients who underwent EA-MVD between January 2019 and June 2021. The endoscope was used to inspect the neurovascular relationship before and after microscopic decompression. Clinical outcomes, intraoperative neurophysiological monitoring findings, and complications were analyzed.<h4>Results</h4>The median follow-up duration was 20 months. Complete resolution of HFS was achieved in 184 patients (92%), including 166 early responders (83%) and 18 delayed responders (9%). Abnormal muscle response disappeared intraoperatively in 176 of 191 patients (92%). Facial palsy occurred in 23 patients (12%), with permanent facial weakness in 4 patients (2%). Hearing loss occurred in 6 patients (3%), including permanent deafness in 2 patients (1%). No complications were directly attributable to endoscope use.<h4>Conclusions</h4>Endoscope-assisted MVD is a safe and effective hybrid surgical technique that offers a reproducible adjunctive workflow without evident endoscope-related morbidity in this series.",Lee S; Lee JA,"Department of Neurosurgery, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea. Electronic address: seunghoonben@gmail.com.",World neurosurgery,2026-08-26,10.1016/j.wneu.2026.125277,6.5,"visualization(title,abstract); visual(title,abstract)",Endoscopy; Hemifacial spasm; Microvascular decompression; Neurovascular Compression
